"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Fishing pier on the Chesapeake Bay.  #Nature #Pier #Fishing #Bay #ChesapeakeBay #beach https://t.co/fktxXJlPgC",FALSE,0,NA,2021-09-13 18:30:55,FALSE,NA,"1437483950629343238",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ToshioK",0,FALSE,FALSE,NA,NA
"Dave caught a beaut! #GoneFishin #ChesapeakeBay https://t.co/JKRN99Us3Z",FALSE,0,NA,2021-09-13 17:48:27,FALSE,NA,"1437473261999333383",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Branchout_coms",0,FALSE,FALSE,NA,NA
"RT @VirginiaDCR: Virginia Agricultural Cost-Share Program open again: 
https://t.co/nMibTP3Obo

Thanks to The Northern Virginia Daily for g…",FALSE,0,NA,2021-09-13 17:36:52,FALSE,NA,"1437470346270105601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MsT499",2,TRUE,FALSE,NA,NA
"If you wish you could find a bay boat boat-motor-trailer package that was easy to afford and easy to tow, launch, a… https://t.co/YZTexb7D7X",FALSE,0,NA,2021-09-13 17:20:41,TRUE,NA,"1437466275744190464",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FishTalkMag",0,FALSE,FALSE,NA,NA
"RT @SmithsonianEnv: Animal #migration news to kick off your Monday! Scientists from our @SERCfisheries lab &amp; @VIMS_News tracked 117 #cownos…",FALSE,0,NA,2021-09-13 17:12:42,FALSE,NA,"1437464265133232128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OceanOgburn",6,TRUE,FALSE,NA,NA
"ALYN’s 3-day Wheels of Love ride has made the safe, fun, easy leap from Israel to Maryland’s Eastern Shore along th… https://t.co/z89xdKFPiq",FALSE,0,NA,2021-09-13 17:04:46,TRUE,NA,"1437462268564889602",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ALYNHospital",0,FALSE,FALSE,NA,NA
"RT @VirginiaDCR: Virginia Agricultural Cost-Share Program open again: 
https://t.co/nMibTP3Obo

Thanks to The Northern Virginia Daily for g…",FALSE,0,NA,2021-09-13 16:16:14,FALSE,NA,"1437450054772658180",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DawnAuletta",2,TRUE,FALSE,NA,NA
"Virginia Agricultural Cost-Share Program open again: 
https://t.co/nMibTP3Obo

Thanks to The Northern Virginia Dail… https://t.co/c6IwQeJCKd",FALSE,3,NA,2021-09-13 16:14:57,TRUE,NA,"1437449733937709057",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","VirginiaDCR",2,FALSE,FALSE,NA,NA
"RT @SkywardApps: The #oyster business is becoming an #ecotourism business, &amp; for #Maryland, education is critical.  #ChesapeakeBay oysters…",FALSE,0,NA,2021-09-13 15:04:01,FALSE,NA,"1437431883747430411",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChesConserv",2,TRUE,FALSE,NA,NA
"RT @1WellnessGIRL: So excited to find out #Maryland is fighting against #plasticpollution. Plastic waste is the single most preventable sub…",FALSE,0,NA,2021-09-13 14:55:21,FALSE,NA,"1437429702977720320",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Plasticsimpact",1,TRUE,FALSE,NA,NA
"Great night at our community Sunset in the Park last night! Neighbors, pizza and a beautiful sunset - I love our lo… https://t.co/dBrR6xnPsG",FALSE,0,NA,2021-09-13 14:51:28,TRUE,NA,"1437428724652204034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","margojsouza",0,FALSE,FALSE,NA,NA
"RT @SmithsonianEnv: Animal #migration news to kick off your Monday! Scientists from our @SERCfisheries lab &amp; @VIMS_News tracked 117 #cownos…",FALSE,0,NA,2021-09-13 14:19:52,FALSE,NA,"1437420771064827913",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SmithsonianWLS",6,TRUE,FALSE,NA,NA
"RT @NWF: ""Investing in clean water infrastructure throughout the #ChesapeakeBay’s 64,000-square mile watershed will maximize the resilience…",FALSE,0,NA,2021-09-13 14:10:50,FALSE,NA,"1437418496967725059",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","urbnfabric",2,TRUE,FALSE,NA,NA
"Featured #BluesFest! @ChesBayBlues The #ChesapeakeBay #Blues #Festival at Sandy Point State Park",FALSE,0,NA,2021-09-13 14:00:01,FALSE,NA,"1437415777037164554",NA,"<a href=""http://www.blues-fests.com"" rel=""nofollow"">Blues Festival Finder Helper</a>","BluesFestivals",0,FALSE,FALSE,NA,NA
"RT @SmithsonianEnv: Animal #migration news to kick off your Monday! Scientists from our @SERCfisheries lab &amp; @VIMS_News tracked 117 #cownos…",FALSE,0,NA,2021-09-13 13:45:59,FALSE,NA,"1437412242203496455",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mojoshark",6,TRUE,FALSE,NA,NA
"RT @SkywardApps: The #oyster business is becoming an #ecotourism business, &amp; for #Maryland, education is critical.  #ChesapeakeBay oysters…",FALSE,0,NA,2021-09-13 13:23:11,FALSE,NA,"1437406507499458560",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chesapeakebay",2,TRUE,FALSE,NA,NA
"RT @NWF: ""Investing in clean water infrastructure throughout the #ChesapeakeBay’s 64,000-square mile watershed will maximize the resilience…",FALSE,0,NA,2021-09-13 13:02:49,FALSE,NA,"1437401379283296257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chill_robinson",2,TRUE,FALSE,NA,NA
"""Investing in clean water infrastructure throughout the #ChesapeakeBay’s 64,000-square mile watershed will maximize… https://t.co/7QfzeQJzf0",FALSE,14,NA,2021-09-13 13:00:55,TRUE,NA,"1437400903208820736",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","NWF",2,FALSE,FALSE,NA,NA
"RT @SmithsonianEnv: Animal #migration news to kick off your Monday! Scientists from our @SERCfisheries lab &amp; @VIMS_News tracked 117 #cownos…",FALSE,0,NA,2021-09-13 12:55:18,FALSE,NA,"1437399488339931142",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","epidatageek",6,TRUE,FALSE,NA,NA
"RT @SmithsonianEnv: Animal #migration news to kick off your Monday! Scientists from our @SERCfisheries lab &amp; @VIMS_News tracked 117 #cownos…",FALSE,0,NA,2021-09-13 12:49:58,FALSE,NA,"1437398148884860934",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhySharksMatter",6,TRUE,FALSE,NA,NA
"RT @SmithsonianEnv: Animal #migration news to kick off your Monday! Scientists from our @SERCfisheries lab &amp; @VIMS_News tracked 117 #cownos…",FALSE,0,NA,2021-09-13 12:49:34,FALSE,NA,"1437398046057373701",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SpinyDag",6,TRUE,FALSE,NA,NA
"Animal #migration news to kick off your Monday! Scientists from our @SERCfisheries lab &amp; @VIMS_News tracked 117… https://t.co/VUxmSbLkk4",FALSE,13,NA,2021-09-13 12:46:34,TRUE,NA,"1437397289929097223",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SmithsonianEnv",6,FALSE,FALSE,NA,NA
"RT @VisitAnnapolis: Meditation Monday- the water is always our happy place!

📸 Mike Iserman

#chesapeakebay #baybrdige #fisherman #sunrise…",FALSE,0,NA,2021-09-13 12:33:19,FALSE,NA,"1437393957357502469",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AnnapolisLiving",2,TRUE,FALSE,NA,NA
"RT @VisitAnnapolis: Meditation Monday- the water is always our happy place!

📸 Mike Iserman

#chesapeakebay #baybrdige #fisherman #sunrise…",FALSE,0,NA,2021-09-13 10:10:14,FALSE,NA,"1437357948091740160",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">ditto noob</a>","galactic_ditto",2,TRUE,FALSE,NA,NA
"RT @ChesConserv: How can you help #SaveTheBay? Eat some oysters and send in the used shells to help create new reefs in the #ChesapeakeBay.…",FALSE,0,NA,2021-09-13 10:07:52,FALSE,NA,"1437357352034914308",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SkywardApps",1,TRUE,FALSE,NA,NA
