Sample_date,Sample_Time,DateTime, Station, Layer,SampleDepth_m,Salinity_ppt,pH,DO_mg/L,DO_pctSat,Turb_NTU,Chl_ug/L,BGA_RFU,T_Fahr,Temp_C
6/3/2020,10:15:0,06/03/20 10:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.63,8.22,94.8,10.58,6.15,,72.2732,22.374
6/3/2020,10:30:0,06/03/20 10:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.6,8.18,94.5,10.63,7.47,,72.3974,22.443
6/3/2020,10:45:0,06/03/20 10:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.59,8.16,94.2,10.89,5.62,,72.4406,22.467
6/3/2020,11:0:0,06/03/20 11:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.63,8.24,95.5,9.27,5.87,,72.815,22.675
6/3/2020,11:15:0,06/03/20 11:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.63,8.24,95.6,10.13,5.61,,72.8474,22.693
6/3/2020,11:30:0,06/03/20 11:30, Potomac River - Mallows Bay Buoy,BS,,0.13,7.63,8.2,95,10.71,5.83,,72.7484,22.638
6/3/2020,11:45:0,06/03/20 11:45, Potomac River - Mallows Bay Buoy,BS,,0.13,7.65,8.24,95.5,10.08,6.11,,72.8744,22.708
6/3/2020,12:0:0,06/03/20 12:00, Potomac River - Mallows Bay Buoy,BS,,0.13,7.67,8.28,96.2,9.24,5.99,,73.031,22.795
6/3/2020,12:15:0,06/03/20 12:15, Potomac River - Mallows Bay Buoy,BS,,0.13,7.65,8.23,95.4,9.65,6.29,,72.8438,22.691
6/3/2020,12:30:0,06/03/20 12:30, Potomac River - Mallows Bay Buoy,BS,,0.13,7.65,8.26,95.8,9.14,6.54,,72.9086,22.727
6/3/2020,12:45:0,06/03/20 12:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.68,8.41,97.5,8.88,8.13,,72.8618,22.701
6/3/2020,13:0:0,06/03/20 13:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8.09,9.83,114,10.4,13.82,,72.8546,22.697
6/3/2020,13:15:0,06/03/20 13:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.76,8.82,102.2,8.73,8.86,,72.8186,22.677
6/3/2020,13:30:0,06/03/20 13:30, Potomac River - Mallows Bay Buoy,BS,,0.13,7.73,8.53,100.1,6.55,5.27,,73.9256,23.292
6/3/2020,13:45:0,06/03/20 13:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.67,101.3,7.23,7.46,,73.5674,23.093
6/3/2020,14:0:0,06/03/20 14:00, Potomac River - Mallows Bay Buoy,BS,,0.13,7.79,8.71,102.3,6.47,6.21,,74.0714,23.373
6/3/2020,14:15:0,06/03/20 14:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.9,9.13,107.6,7.21,10.1,,74.3828,23.546
6/3/2020,14:30:0,06/03/20 14:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.98,9.57,111.4,12.99,13.32,,73.1444,22.858
6/3/2020,14:45:0,06/03/20 14:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.98,9.29,109.4,6.72,11.18,,74.3342,23.519
6/3/2020,15:0:0,06/03/20 15:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8.01,9.44,111,7.06,11.04,,74.1614,23.423
6/3/2020,15:15:0,06/03/20 15:15, Potomac River - Mallows Bay Buoy,BS,,0.12,8.04,9.63,113.2,8.4,12.57,,74.1056,23.392
6/3/2020,15:30:0,06/03/20 15:30, Potomac River - Mallows Bay Buoy,BS,,0.12,8.07,9.7,113.6,10.62,13.98,,73.7744,23.208
6/3/2020,15:45:0,06/03/20 15:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8.1,9.75,114.1,10.59,13.64,,73.7708,23.206
6/3/2020,16:0:0,06/03/20 16:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8.08,9.69,113.4,10.3,13.08,,73.7132,23.174
6/3/2020,16:15:0,06/03/20 16:15, Potomac River - Mallows Bay Buoy,BS,,0.12,8.04,9.58,111.9,9.74,13.28,,73.5224,23.068
6/3/2020,16:30:0,06/03/20 16:30, Potomac River - Mallows Bay Buoy,BS,,0.12,8.06,9.62,112.3,9.16,14.21,,73.4684,23.038
6/3/2020,16:45:0,06/03/20 16:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8.24,10.16,118.9,9.81,16.45,,73.6934,23.163
6/3/2020,17:0:0,06/03/20 17:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8.1,9.74,113.7,9.31,14.19,,73.4792,23.044
6/3/2020,17:15:0,06/03/20 17:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.96,9.36,108.8,9.23,11.47,,73.004,22.78
6/3/2020,17:30:0,06/03/20 17:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.98,9.45,109.9,8.85,12.1,,73.0922,22.829
6/3/2020,17:45:0,06/03/20 17:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8.13,9.87,115.2,8.07,14.52,,73.463,23.035
6/3/2020,18:0:0,06/03/20 18:00, Potomac River - Mallows Bay Buoy,BS,,0.12,8.24,10.21,119.8,7.75,13.81,,73.9436,23.302
6/3/2020,18:15:0,06/03/20 18:15, Potomac River - Mallows Bay Buoy,BS,,0.12,8.09,9.63,112.3,7.77,13.83,,73.427,23.015
6/3/2020,18:30:0,06/03/20 18:30, Potomac River - Mallows Bay Buoy,BS,,0.12,8.03,9.65,112.4,7.57,12.84,,73.2848,22.936
6/3/2020,18:45:0,06/03/20 18:45, Potomac River - Mallows Bay Buoy,BS,,0.12,8,9.61,111.9,7.09,12.8,,73.2506,22.917
6/3/2020,19:0:0,06/03/20 19:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.97,9.54,111,7.86,12.09,,73.1696,22.872
6/3/2020,19:15:0,06/03/20 19:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.86,9.21,106.7,8.66,10.68,,72.7916,22.662
6/3/2020,19:30:0,06/03/20 19:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.81,8.97,104,9.87,9.73,,72.8186,22.677
6/3/2020,19:45:0,06/03/20 19:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.86,102.7,12.06,9.98,,72.7718,22.651
6/3/2020,20:0:0,06/03/20 20:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.77,8.74,101.4,11.27,8.81,,72.8312,22.684
6/3/2020,20:15:0,06/03/20 20:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.76,101.7,9.77,8.92,,72.968,22.76
6/3/2020,20:30:0,06/03/20 20:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.77,101.9,10.02,9.15,,73.0292,22.794
6/3/2020,20:45:0,06/03/20 20:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.76,8.64,100.3,12.8,8.63,,72.869,22.705
6/3/2020,21:0:0,06/03/20 21:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.74,8.59,99.6,12.04,8.8,,72.8852,22.714
6/3/2020,21:15:0,06/03/20 21:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.77,8.64,100.4,9.87,8.66,,73.103,22.835
6/3/2020,21:30:0,06/03/20 21:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.78,8.61,100.3,10.4,8.77,,73.2344,22.908
6/3/2020,21:45:0,06/03/20 21:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.75,8.5,99.1,10.96,8.5,,73.2686,22.927
6/3/2020,22:0:0,06/03/20 22:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.75,8.51,99.3,10.39,8.55,,73.3712,22.984
6/3/2020,22:15:0,06/03/20 22:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.74,8.46,98.6,11.14,7.97,,73.265,22.925
6/3/2020,22:30:0,06/03/20 22:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.73,8.45,98.6,9.46,7.78,,73.4126,23.007
