Team,elevation (ft)
AIR FORCE,6788
ALABAMA,222
ARIZONA,2441
ARIZONA STATE,1495
ARKANSAS,1434
BAYLOR,470
BOISE STATE,2730
BOSTON COLLEGE,154
BRADLEY,183
BUTLER,755
BYU,4665
CAL POLY,312
CALIFORNIA,305
CHARLOTTE,761
COLORADO,5345
COLORADO STATE,5003
COLUMBIA,138
CONNECTICUT,617
CORNELL,896
DARTMOUTH,541
DUKE,394
EASTERN KENTUCKY,1004
EASTERN MICHIGAN,741
FLORIDA,102
FLORIDA STATE,79
FURMAN,1027
GEORGETOWN,141
GEORGIA,728
GEORGIA TECH,928
GONZAGA,1909
HARVARD,10
ILLINOIS,751
INDIANA,771
IONA,59
IOWA STATE,899
KANSAS,928
LIBERTY,925
LOUISVILLE,546
MICHIGAN,879
MICHIGAN STATE,863
MIDDLE TENNESSEE,627
MINNESOTA,830
MISSISSIPPI STATE,381
MISSOURI,748
NAVY,3
NC STATE,404
NEW MEXICO,5174
NORTH CAROLINA,440
NORTHERN ARIZONA,6893
NOTRE DAME,725
OHIO STATE,741
OKLAHOMA,1165
OKLAHOMA STATE,938
OLE MISS,509
OREGON,446
OREGON STATE,246
PENN,62
PENN STATE,1148
PORTLAND,33
PRINCETON,125
PROVIDENCE,151
PURDUE,623
RICE,46
SAN FRANCISCO,335
SMU,581
SOUTHERN UTAH,5807
STANFORD,89
SYRACUSE,551
TEXAS,522
TEXAS A&M,341
TOLEDO,591
TULSA,778
UCLA,377
UTAH,4783
UTAH STATE,4787
UTEP,3720
VANDERBILT,568
VILLANOVA,459
VIRGINIA,568
VIRGINIA TECH,2064
WAKE FOREST,955
WASHINGTON,95
WASHINGTON STATE,2598
WEBER STATE,4715
WEST VIRGINIA,912
WILLIAM & MARY,82
WISCONSIN,883
WYOMING,7234
YALE,62
