Team,elevation,lat,long
AIR FORCE,6788,38.998,-104.862
ALABAMA,222,33.214,-87.539
ARIZONA,2441,32.232,-110.95
ARIZONA STATE,1495,33.424,-111.928
ARKANSAS,1434,36.069,-94.175
BAYLOR,470,31.549,-97.113
BOISE STATE,2730,43.603,-116.206
BOSTON COLLEGE,154,42.336,-71.169
BRADLEY,183,40.6978,-89.615
BUTLER,755,39.841,-86.171
BYU,4665,40.252,-111.649
CAL POLY,312,35.305,-120.663
CALIFORNIA,305,37.872,-122.259
CHARLOTTE,761,35.307,-80.735
COLORADO,5345,40.001,-105.266
COLORADO STATE,5003,40.573,-105.087
COLUMBIA,138,40.808,-73.963
CONNECTICUT,617,41.808,-72.254
CORNELL,896,42.453,-76.474
DARTMOUTH,541,43.7044,-72.289
DUKE,394,36.001,-78.938
EASTERN KENTUCKY,1004,37.735,-84.299
EASTERN MICHIGAN,741,42.251,-83.624
FLORIDA,102,29.644,-82.355
FLORIDA STATE,79,30.442,-84.299
FURMAN,1027,34.926,-82.44
GEORGETOWN,141,38.908,-77.072
GEORGIA,728,33.948,-83.377
GEORGIA TECH,928,33.776,-84.396
GONZAGA,1909,47.667,-117.401
HARVARD,10,42.377,-71.117
ILLINOIS,751,40.102,-88.227
INDIANA,771,39.178,-86.513
IONA,59,40.927,-73.786
IOWA STATE,899,42.027,-93.647
KANSAS,928,38.954,-95.256
LIBERTY,925,37.353,-79.177
LOUISVILLE,546,38.212,-85.759
MICHIGAN,879,42.278,-83.738
MICHIGAN STATE,863,42.702,-84.482
MIDDLE TENNESSEE,627,35.849,-86.365
MINNESOTA,830,44.974,-93.228
MISSISSIPPI STATE,381,33.455,-88.794
MISSOURI,748,38.94,-92.328
NAVY,3,38.982,-76.484
NC STATE,404,35.785,-78.682
NEW MEXICO,5174,35.084,-106.62
NORTH CAROLINA,440,35.905,-79.047
NORTHERN ARIZONA,6893,35.18,-111.654
NOTRE DAME,725,41.699,-86.239
OHIO STATE,741,40.001,-83.031
OKLAHOMA,1165,35.206,-97.446
OKLAHOMA STATE,938,36.127,-97.074
OLE MISS,509,34.365,-89.538
OREGON,446,44.045,-123.073
OREGON STATE,246,44.564,-123.279
PENN,62,39.952,-75.193
PENN STATE,1148,40.798,-77.86
PORTLAND,33,45.573,-122.728
PRINCETON,125,40.343,-74.655
PROVIDENCE,151,41.844,-71.435
PURDUE,623,40.424,-86.921
RICE,46,29.717,-95.402
SAN FRANCISCO,335,37.777,-122.451
SMU,581,32.841,-96.785
SOUTHERN UTAH,5807,37.676,-113.072
STANFORD,89,37.428,-122.17
SYRACUSE,551,43.039,-76.135
TEXAS,522,30.285,-97.734
TEXAS A&M,341,30.618,-96.337
TOLEDO,591,41.658,-83.614
TULSA,778,36.152,-95.946
UCLA,377,34.069,-118.445
UTAH,4783,40.765,-111.842
UTAH STATE,4787,41.745,-111.81
UTEP,3720,31.773,-106.505
VANDERBILT,568,36.145,-86.803
VILLANOVA,459,40.037,-75.343
VIRGINIA,568,38.034,-78.508
VIRGINIA TECH,2064,37.228,-80.423
WAKE FOREST,955,36.136,-80.279
WASHINGTON,95,47.236,-122.55
WASHINGTON STATE,2598,46.732,-117.154
WEBER STATE,4715,41.192,-111.944
WEST VIRGINIA,912,39.648,-79.97
WILLIAM & MARY,82,37.271,-76.716
WISCONSIN,883,43.077,-89.413
WYOMING,7234,41.315,-105.567
YALE,62,41.316,-72.922
