"Rank","Team","Points","Conference","Change","Previous Rank","Previous Ranking Class","Year","Season","Gender","Division","Description"
1,"NORTHERN ARIZONA",92,"Big Sky",0,1,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
2,"IOWA STATE",137,"Big 12",6,8,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
3,"OKLAHOMA STATE",186,"Big 12",0,3,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
4,"ARKANSAS",195,"SEC",0,4,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
5,"STANFORD",236,"Pac-12",0,5,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
6,"TULSA",237,"American",0,6,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
7,"BYU",246,"WCC",0,7,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
8,"COLORADO",249,"Pac-12",6,14,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
9,"NOTRE DAME",290,"ACC",-7,2,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
10,"WAKE FOREST",356,"ACC",5,15,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
11,"WISCONSIN",361,"Big Ten",7,18,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
12,"HARVARD",364,"Ivy League",20,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
13,"WASHINGTON",373,"Pac-12",12,25,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
14,"TEXAS",393,"Big 12",18,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
15,"OLE MISS",395,"SEC",-3,12,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
16,"PORTLAND",430,"WCC",5,21,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
17,"AIR FORCE",453,"Mountain West",2,19,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
18,"NORTH CAROLINA",460,"ACC",14,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
19,"SYRACUSE",485,"ACC",11,30,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
20,"FLORIDA STATE",517,"ACC",12,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
21,"MINNESOTA",518,"Big Ten",11,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
22,"GEORGETOWN",566,"Big East",0,22,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
23,"PRINCETON",567,"Ivy League",9,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
24,"SOUTHERN UTAH",573,"Big Sky",-15,9,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
25,"MICHIGAN",588,"Big Ten",7,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
26,"GONZAGA",612,"WCC",1,27,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
27,"ALABAMA",640,"SEC",5,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
28,"BUTLER",643,"Big East",-15,13,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
29,"OREGON",655,"Pac-12",3,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st"
30,"MICHIGAN STATE",681,"Big Ten",-13,17,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
31,"FURMAN",688,"SoCon",-7,24,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st"
1,"NC STATE",84,"ACC",1,2,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
2,"BYU",122,"WCC",-1,1,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
3,"NEW MEXICO",130,"Mountain West",3,6,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
4,"COLORADO",187,"Pac-12",3,7,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
5,"NOTRE DAME",215,"ACC",27,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
6,"STANFORD",233,"Pac-12",-3,3,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
7,"MINNESOTA",313,"Big Ten",-2,5,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
8,"ARKANSAS",328,"SEC",2,10,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
9,"IOWA STATE",332,"Big 12",16,25,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
10,"OLE MISS",350,"SEC",2,12,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
11,"WASHINGTON",366,"Pac-12",2,13,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
12,"WISCONSIN",376,"Big Ten",20,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
13,"OKLAHOMA STATE",404,"Big 12",11,24,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
14,"NORTH CAROLINA",405,"ACC",0,14,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
15,"ALABAMA",428,"SEC",-7,8,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
16,"MICHIGAN STATE",438,"Big Ten",-12,4,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
17,"COLORADO STATE",455,"Mountain West",6,23,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
18,"GEORGETOWN",464,"Big East",0,18,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
