Rank,Team,Points,Conference,Change,Year,Season,Gender,Division,Description
1,NORTHERN ARIZONA,92.0,Big Sky,◀▶(LW: 1),2021,Cross Country,Men,I,FINAL - November 21st
2,IOWA STATE,137.0,Big 12,▲6(LW: 8),2021,Cross Country,Men,I,FINAL - November 21st
3,OKLAHOMA STATE,186.0,Big 12,◀▶(LW: 3),2021,Cross Country,Men,I,FINAL - November 21st
4,ARKANSAS,195.0,SEC,◀▶(LW: 4),2021,Cross Country,Men,I,FINAL - November 21st
5,STANFORD,236.0,Pac-12,◀▶(LW: 5),2021,Cross Country,Men,I,FINAL - November 21st
6,TULSA,237.0,American,◀▶(LW: 6),2021,Cross Country,Men,I,FINAL - November 21st
7,BYU,246.0,WCC,◀▶(LW: 7),2021,Cross Country,Men,I,FINAL - November 21st
8,COLORADO,249.0,Pac-12,▲6(LW: 14),2021,Cross Country,Men,I,FINAL - November 21st
9,NOTRE DAME,290.0,ACC,▼7(LW: 2),2021,Cross Country,Men,I,FINAL - November 21st
10,WAKE FOREST,356.0,ACC,▲5(LW: 15),2021,Cross Country,Men,I,FINAL - November 21st
11,WISCONSIN,361.0,Big Ten,▲7(LW: 18),2021,Cross Country,Men,I,FINAL - November 21st
12,HARVARD,364.0,Ivy League,NR,2021,Cross Country,Men,I,FINAL - November 21st
13,WASHINGTON,373.0,Pac-12,▲12(LW: 25),2021,Cross Country,Men,I,FINAL - November 21st
14,TEXAS,393.0,Big 12,NR,2021,Cross Country,Men,I,FINAL - November 21st
15,OLE MISS,395.0,SEC,▼3(LW: 12),2021,Cross Country,Men,I,FINAL - November 21st
16,PORTLAND,430.0,WCC,▲5(LW: 21),2021,Cross Country,Men,I,FINAL - November 21st
17,AIR FORCE,453.0,Mountain West,▲2(LW: 19),2021,Cross Country,Men,I,FINAL - November 21st
18,NORTH CAROLINA,460.0,ACC,NR,2021,Cross Country,Men,I,FINAL - November 21st
19,SYRACUSE,485.0,ACC,▲11(LW: 30),2021,Cross Country,Men,I,FINAL - November 21st
20,FLORIDA STATE,517.0,ACC,NR,2021,Cross Country,Men,I,FINAL - November 21st
21,MINNESOTA,518.0,Big Ten,NR,2021,Cross Country,Men,I,FINAL - November 21st
22,GEORGETOWN,566.0,Big East,◀▶(LW: 22),2021,Cross Country,Men,I,FINAL - November 21st
23,PRINCETON,567.0,Ivy League,NR,2021,Cross Country,Men,I,FINAL - November 21st
24,SOUTHERN UTAH,573.0,Big Sky,▼15(LW: 9),2021,Cross Country,Men,I,FINAL - November 21st
25,MICHIGAN,588.0,Big Ten,NR,2021,Cross Country,Men,I,FINAL - November 21st
26,GONZAGA,612.0,WCC,▲1(LW: 27),2021,Cross Country,Men,I,FINAL - November 21st
27,ALABAMA,640.0,SEC,NR,2021,Cross Country,Men,I,FINAL - November 21st
28,BUTLER,643.0,Big East,▼15(LW: 13),2021,Cross Country,Men,I,FINAL - November 21st
29,OREGON,655.0,Pac-12,NR,2021,Cross Country,Men,I,FINAL - November 21st
30,MICHIGAN STATE,681.0,Big Ten,▼13(LW: 17),2021,Cross Country,Men,I,FINAL - November 21st
31,FURMAN,688.0,SoCon,▼7(LW: 24),2021,Cross Country,Men,I,FINAL - November 21st
1,NC STATE,84.0,ACC,▲1(LW: 2),2021,Cross Country,Women,I,FINAL - November 21st
2,BYU,122.0,WCC,▼1(LW: 1),2021,Cross Country,Women,I,FINAL - November 21st
3,NEW MEXICO,130.0,Mountain West,▲3(LW: 6),2021,Cross Country,Women,I,FINAL - November 21st
4,COLORADO,187.0,Pac-12,▲3(LW: 7),2021,Cross Country,Women,I,FINAL - November 21st
5,NOTRE DAME,215.0,ACC,NR,2021,Cross Country,Women,I,FINAL - November 21st
6,STANFORD,233.0,Pac-12,▼3(LW: 3),2021,Cross Country,Women,I,FINAL - November 21st
7,MINNESOTA,313.0,Big Ten,▼2(LW: 5),2021,Cross Country,Women,I,FINAL - November 21st
8,ARKANSAS,328.0,SEC,▲2(LW: 10),2021,Cross Country,Women,I,FINAL - November 21st
9,IOWA STATE,332.0,Big 12,▲16(LW: 25),2021,Cross Country,Women,I,FINAL - November 21st
10,OLE MISS,350.0,SEC,▲2(LW: 12),2021,Cross Country,Women,I,FINAL - November 21st
11,WASHINGTON,366.0,Pac-12,▲2(LW: 13),2021,Cross Country,Women,I,FINAL - November 21st
12,WISCONSIN,376.0,Big Ten,NR,2021,Cross Country,Women,I,FINAL - November 21st
13,OKLAHOMA STATE,404.0,Big 12,▲11(LW: 24),2021,Cross Country,Women,I,FINAL - November 21st
14,NORTH CAROLINA,405.0,ACC,◀▶(LW: 14),2021,Cross Country,Women,I,FINAL - November 21st
15,ALABAMA,428.0,SEC,▼7(LW: 8),2021,Cross Country,Women,I,FINAL - November 21st
16,MICHIGAN STATE,438.0,Big Ten,▼12(LW: 4),2021,Cross Country,Women,I,FINAL - November 21st
17,COLORADO STATE,455.0,Mountain West,▲6(LW: 23),2021,Cross Country,Women,I,FINAL - November 21st
18,GEORGETOWN,464.0,Big East,◀▶(LW: 18),2021,Cross Country,Women,I,FINAL - November 21st
19,FLORIDA STATE,468.0,ACC,▼4(LW: 15),2021,Cross Country,Women,I,FINAL - November 21st
20,UTAH,483.0,Pac-12,NR,2021,Cross Country,Women,I,FINAL - November 21st
21,WEST VIRGINIA,489.0,Big 12,▲8(LW: 29),2021,Cross Country,Women,I,FINAL - November 21st
22,MICHIGAN,500.0,Big Ten,▼5(LW: 17),2021,Cross Country,Women,I,FINAL - November 21st
23,NORTHERN ARIZONA,532.0,Big Sky,▼12(LW: 11),2021,Cross Country,Women,I,FINAL - November 21st
24,OREGON,534.0,Pac-12,NR,2021,Cross Country,Women,I,FINAL - November 21st
25,HARVARD,541.0,Ivy League,NR,2021,Cross Country,Women,I,FINAL - November 21st
26,PROVIDENCE,594.0,Big East,NR,2021,Cross Country,Women,I,FINAL - November 21st
27,VILLANOVA,605.0,Big East,NR,2021,Cross Country,Women,I,FINAL - November 21st
28,UTAH STATE,638.0,Mountain West,NR,2021,Cross Country,Women,I,FINAL - November 21st
29,BUTLER,660.0,Big East,NR,2021,Cross Country,Women,I,FINAL - November 21st
30,SYRACUSE,768.0,ACC,NR,2021,Cross Country,Women,I,FINAL - November 21st
31,RICE,811.0,Conference USA,NR,2021,Cross Country,Women,I,FINAL - November 21st
1,NORTHERN ARIZONA,60.0,Big Sky,▲1(LW: 2),2020,Cross Country,Men,I,FINAL - March 15th
2,NOTRE DAME,87.0,ACC,▲7(LW: 9),2020,Cross Country,Men,I,FINAL - March 15th
3,OKLAHOMA STATE,142.0,Big 12,▲3(LW: 6),2020,Cross Country,Men,I,FINAL - March 15th
4,ARKANSAS,181.0,SEC,▼1(LW: 3),2020,Cross Country,Men,I,FINAL - March 15th
5,STANFORD,194.0,Pac-12,▼1(LW: 4),2020,Cross Country,Men,I,FINAL - March 15th
6,TULSA,237.0,American,▼1(LW: 5),2020,Cross Country,Men,I,FINAL - March 15th
7,BYU,254.0,WCC,▼6(LW: 1),2020,Cross Country,Men,I,FINAL - March 15th
8,IOWA STATE,265.0,Big 12,▼1(LW: 7),2020,Cross Country,Men,I,FINAL - March 15th
9,SOUTHERN UTAH,270.0,Big Sky,▲17(LW: 26),2020,Cross Country,Men,I,FINAL - March 15th
10,IONA,311.0,Metro Atlantic,▲2(LW: 12),2020,Cross Country,Men,I,FINAL - March 15th
11,UTAH STATE,351.0,Mountain West,▲10(LW: 21),2020,Cross Country,Men,I,FINAL - March 15th
12,OLE MISS,373.0,SEC,▲3(LW: 15),2020,Cross Country,Men,I,FINAL - March 15th
13,BUTLER,379.0,Big East,▲9(LW: 22),2020,Cross Country,Men,I,FINAL - March 15th
14,COLORADO,398.0,Pac-12,▼6(LW: 8),2020,Cross Country,Men,I,FINAL - March 15th
15,WAKE FOREST,425.0,ACC,▲5(LW: 20),2020,Cross Country,Men,I,FINAL - March 15th
16,DUKE,462.0,ACC,(LW: RV),2020,Cross Country,Men,I,FINAL - March 15th
17,MICHIGAN STATE,463.0,Big Ten,▲11(LW: 28),2020,Cross Country,Men,I,FINAL - March 15th
18,WISCONSIN,464.0,Big Ten,▼7(LW: 11),2020,Cross Country,Men,I,FINAL - March 15th
19,AIR FORCE,464.0,Mountain West,◀▶(LW: 19),2020,Cross Country,Men,I,FINAL - March 15th
20,VILLANOVA,468.0,Big East,(LW: RV),2020,Cross Country,Men,I,FINAL - March 15th
21,PORTLAND,472.0,WCC,▼4(LW: 17),2020,Cross Country,Men,I,FINAL - March 15th
22,GEORGETOWN,528.0,Big East,(LW: RV),2020,Cross Country,Men,I,FINAL - March 15th
23,NC STATE,547.0,ACC,▼10(LW: 13),2020,Cross Country,Men,I,FINAL - March 15th
24,FURMAN,560.0,SoCon,(LW: RV),2020,Cross Country,Men,I,FINAL - March 15th
25,WASHINGTON,568.0,Pac-12,▼15(LW: 10),2020,Cross Country,Men,I,FINAL - March 15th
26,INDIANA,572.0,Big Ten,▼9(LW: 17),2020,Cross Country,Men,I,FINAL - March 15th
27,GONZAGA,591.0,WCC,▼13(LW: 14),2020,Cross Country,Men,I,FINAL - March 15th
28,CHARLOTTE,634.0,Conference USA,▲2(LW: 30),2020,Cross Country,Men,I,FINAL - March 15th
29,PURDUE,741.0,Big Ten,▼5(LW: 24),2020,Cross Country,Men,I,FINAL - March 15th
30,SYRACUSE,761.0,ACC,▼5(LW: 25),2020,Cross Country,Men,I,FINAL - March 15th
