Year,Host,Location,Temp,Wind,Cloud_Cover,Weather_Condition
2011,Indiana State University,"Terre Haute, Indiana",46,10.4,Overcast,Rain
2012,University of Louisville,"Louisville, Kentucky",44.1,3.36,Clear,Sun
2013,Indiana State University,"Terre Haute, Indiana",28,16.1,Clear,Wind
2014,Indiana State University,"Terre Haute, Indiana",48,15,Overcast,Wind
2015,University of Louisville,"Louisville, Kentucky",46,4.7,Mostly Cloudy,Cloudy
2016,Indiana State University,"Terre Haute, Indiana",36,17.2,Overcast,Wind
2017,University of Louisville,"Louisville, Kentucky",64.9,23,Overcast,Wind
2018,University of Wisconsin,"Madison,Wisconsin",28.9,10.3,Overcast,Snow
2019,Indiana State University,"Terre Haute, Indiana",36,10.4,Overcast,Rain
2020,Oklahoma State University,"Stillwater, Oklahoma",55,13.8,Clear,Sun
2021,Flordia State University,"Tallahassee, Flordia",57,9.21,Clear,Sun
