Team,Season,Mean_Salary,Median.Salary,Max,Min,Standard_deviation,Total,salaries
ATL,09_10,4705974.428571428,3403820,14976754,307564,4530236.868584768,65883642,
BOS,09_10,6132740.857142857,3206896.5,19795712,457588,6779941.9560827175,85858372,
CHA,09_10,5710824.714285715,5766498,13655268,457588,4220409.221932274,79951546,
CHI,09_10,3903125.6428571427,2335920,12250000,43319,3908688.990941604,54643759,
CLE,09_10,6069818.428571428,3419250,20000000,457588,6206410.7903655395,84977458,
DAL,09_10,7727097.916666667,7204061.5,19795714,1075440,4931390.166475067,92725175,
DEN,09_10,5117961.5,1775553.5,15779912,884881,5826855.827279136,61415538,
DET,09_10,4224702.357142857,2533227.5,11625000,457588,3903356.321255113,59145833,
GSW,09_10,3916548.1333333333,2710560,11000000,355215,3475296.709727548,58748222,
HOU,09_10,3149152.5,2391640,10180170,48559,2848463.8647058173,50386440,
IND,09_10,4453327.461538462,1934160,11047619,457588,4123493.176674109,57893257,
LAC,09_10,3362058.0625,2492000,12150000,26917,3451720.000447071,53792929,
LAL,09_10,7534912.75,5152614.5,23034375,959111,6589625.5033447025,90418953,
MEM,09_10,3516243.785714286,2978580.5,16000000,392987,3969431.521932235,49227413,
MIA,09_10,5239766.733333333,2750000,23016000,343542,6463918.927677449,78596501,
MIL,09_10,4219501.375,3084299,17040000,303232,4339169.516388912,67512022,
MIN,09_10,3779805.714285714,3134640,12000000,736420,3086751.2322545014,52917280,
NJN,09_10,3510043.2,2225880,10560000,736000,2834956.936294629,52650648,
NOH,09_10,4694901,3263020,13520500,457888,4428092.833649124,56338812,
NYK,09_10,5702599.666666667,2975520,23239562,736420,6544167.210716194,68431196,
OKC,09_10,2753857.4375,2039274,7350000,139968,2324785.924028274,44061719,
ORL,09_10,6741205.083333333,4650000,18876000,1306455,6342932.333276886,80894461,
PHI,09_10,4620948.769230769,1700000,14858471,650000,5047688.570427379,60072334,
PHX,09_10,4213924,1836000,13333333,457588,4734217.276597114,46353164,
POR,09_10,3506299.9285714286,3026948,7650000,457588,2604166.952294887,49088199,
SAC,09_10,2828778.125,1601460,8775000,76850,2738261.1077313735,45260450,
SAS,09_10,5864511.769230769,1081680,22183220,180344,7027433.3931007385,76238653,
TOR,09_10,4371870.769230769,3666666,15779912,330199,4133828.334686709,56834320,
UTA,09_10,5992103.666666667,4427557.5,16452000,269169,5712892.950517458,71905244,
WAS,09_10,3685791,1714800,16192080,53834,4583593.245883886,62658447,
ATL,10_11,5104988.785714285,2864045,16324500,473604,5076595.256950033,71469843,
BOS,10_11,6083230.466666667,4455988,18800000,915852,5509194.024905417,91248457,
CHA,10_11,3698719.1333333333,3000000,9000000,170373,3120158.994477957,55480787,
CHI,10_11,4469151,2764268,14400000,1117680,4272018.218099029,53629812,
CLE,10_11,3329745.375,1274940,13358905,321652,4276948.417050548,53275926,
DAL,10_11,6626339.461538462,6900000,17278618,762196,5184364.027069258,86142413,
DEN,10_11,4358406.923076923,3304560,16545454,473604,4286388.2927562585,56659290,
DET,10_11,4944770.923076923,3000000,12500000,762195,4068609.825338287,64282022,
GSW,10_11,4374016.923076923,3065040,11000000,342666,3838495.46104029,56862220,
HOU,10_11,4673703.857142857,2442000,17686100,780871,4747153.538222359,65431854,
IND,10_11,3649187.8571428573,2033824.5,10973202,750000,3609113.7284276243,51088630,
LAC,10_11,3144752.153846154,2563320,11800000,500000,3003758.127378569,40881778,
LAL,10_11,6101187.333333333,3700000,24806250,89670,7265230.549967561,91517810,
MEM,10_11,4294902.285714285,1948672.5,17666666,651872,5209552.467725071,60128632,
MIA,10_11,4350015.5,1352181,14500000,222712,5221137.513708904,69600248,
MIL,10_11,4591665,2320500,18300000,270436,5094862.989018056,68874975,
MIN,10_11,2978064.6428571427,3415140,4962240,83305,1512154.3750181068,41692905,
NJN,10_11,3918081.2666666666,3250000,14940152,327296,3747921.4760681395,58771219,
NOH,10_11,4781210.538461538,3000000,14940153,364461,4395380.306057668,62155737,
NYK,10_11,3828651.846153846,1071000,17149243,473604,5394000.7343207365,49772474,
OKC,10_11,4384520.571428572,4108860,13250000,1200000,3203574.8311313507,61383288,
ORL,10_11,7106761.181818182,4000000,17730694,1229255,6312415.946434626,78174373,
PHI,10_11,4916557.384615385,2974320,15959099,762195,4613952.168759077,63915246,
PHX,10_11,4695142.285714285,3787000,17300000,242374,4608821.244758417,65731992,
POR,10_11,4524328.266666667,1264687,13520500,164368,4968141.597883666,67864924,
SAC,10_11,2853231,1116840,13428129,473604,3475288.452229521,42798465,
SAS,10_11,4356462.75,1259280,18700000,71951,5710973.458538133,69703404,
TOR,10_11,3515582,2453880,9000000,58393,2773576.056725189,59764894,
UTA,10_11,5418235.428571428,3350000,17823000,473604,5294711.611527963,75855296,
WAS,10_11,3293506.7333333334,1601040,19573711,55718,4844690.991942159,49402601,
ATL,11_12,4903178.333333333,1352181,18038573,473604,5481820.1417513,73547675,
BOS,11_12,5454113.5625,2741666.5,21247044,473604,5986595.036458348,87265817,
